qualite_id,agence_id,date,note_satisfaction_client,reclamations_ouvertes,reclamations_traitees,delai_resolution_moyen
QUAL-AG-001-2026-12,AG-001,2026-12-01,57,4,2,7
QUAL-AG-002-2023-01,AG-002,2023-01-01,59,13,13,2
QUAL-AG-002-2023-02,AG-002,2023-02-01,65,9,4,3
QUAL-AG-002-2023-03,AG-002,2023-03-01,31,0,0,1
QUAL-AG-002-2023-04,AG-002,2023-04-01,45,1,0,9
QUAL-AG-002-2023-05,AG-002,2023-05-01,66,5,0,5
QUAL-AG-002-2023-06,AG-002,2023-06-01,65,4,0,8
QUAL-AG-002-2023-07,AG-002,2023-07-01,83,5,5,1
QUAL-AG-002-2023-08,AG-002,2023-08-01,73,16,12,4
QUAL-AG-002-2023-09,AG-002,2023-09-01,75,13,11,5
QUAL-AG-002-2023-10,AG-002,2023-10-01,39,5,5,8
QUAL-AG-002-2023-11,AG-002,2023-11-01,34,19,16,1
QUAL-AG-002-2023-12,AG-002,2023-12-01,38,17,14,5
QUAL-AG-002-2024-01,AG-002,2024-01-01,34,13,8,3
QUAL-AG-002-2024-02,AG-002,2024-02-01,74,13,12,7
QUAL-AG-002-2024-03,AG-002,2024-03-01,40,19,14,6
QUAL-AG-002-2024-04,AG-002,2024-04-01,35,0,0,6
QUAL-AG-002-2024-05,AG-002,2024-05-01,32,16,16,10
QUAL-AG-002-2024-06,AG-002,2024-06-01,64,8,3,3
QUAL-AG-002-2024-07,AG-002,2024-07-01,41,6,1,1
QUAL-AG-002-2024-08,AG-002,2024-08-01,58,4,3,4
QUAL-AG-002-2024-09,AG-002,,39,20,16,4
QUAL-AG-002-2024-10,AG-002,2024-10-01,73,4,0,5
QUAL-AG-002-2024-11,AG-002,2024-11-01,59,10,9,10
QUAL-AG-002-2024-12,AG-002,2024-12-01,57,18,17,9
QUAL-AG-002-2025-01,AG-002,2025-01-01,85,13,8,7
QUAL-AG-002-2025-02,AG-002,2025-02-01,57,13,9,7
QUAL-AG-002-2025-03,AG-002,2025-03-01,60,9,9,4
QUAL-AG-002-2025-04,AG-002,2025-04-01,30,8,6,5
QUAL-AG-002-2025-05,AG-002,2025-05-01,34,0,0,2
QUAL-AG-002-2025-06,AG-002,2025-06-01,46,18,15,1
QUAL-AG-002-2025-07,AG-002,,48,10,6,1
QUAL-AG-002-2025-08,AG-002,2025-08-01,56,9,8,10
QUAL-AG-002-2025-09,AG-002,2025-09-01,83,5,1,1
QUAL-AG-002-2025-10,AG-002,,48,3,3,6
QUAL-AG-002-2025-11,AG-002,2025-11-01,,18,13,7
QUAL-AG-002-2025-12,AG-002,2025-12-01,51,5,0,6
QUAL-AG-002-2026-01,AG-002,2026-01-01,74,7,2,3
QUAL-AG-002-2026-02,AG-002,2026-02-01,80,17,17,6
QUAL-AG-002-2026-03,AG-002,2026-03-01,65,6,3,8
QUAL-AG-002-2026-04,AG-002,2026-04-01,45,11,9,1
QUAL-AG-002-2026-05,AG-002,2026-05-01,84,9,6,7
QUAL-AG-002-2026-06,AG-002,2026-06-01,,6,2,6
QUAL-AG-002-2026-07,AG-002,2026-07-01,37,10,9,6
QUAL-AG-002-2026-08,AG-002,2026-08-01,73,13,12,8
QUAL-AG-002-2026-09,AG-002,2026-09-01,64,17,13,3
QUAL-AG-002-2026-10,AG-002,2026-10-01,44,2,0,5
QUAL-AG-002-2026-11,AG-002,2026-11-01,31,7,7,5
QUAL-AG-002-2026-12,AG-002,2026-12-01,52,17,13,1
QUAL-AG-003-2023-01,AG-003,2023-01-01,67,15,15,9
QUAL-AG-003-2023-02,AG-003,2023-02-01,81,9,8,3
QUAL-AG-003-2023-03,AG-003,2023-03-01,44,11,6,6
QUAL-AG-003-2023-04,AG-003,2023-04-01,79,9,4,6
QUAL-AG-003-2023-05,AG-003,2023-05-01,41,1,0,6
QUAL-AG-003-2023-06,AG-003,2023-06-01,58,10,7,8
QUAL-AG-003-2023-07,AG-003,2023-07-01,84,2,2,4
QUAL-AG-003-2023-08,AG-003,2023-08-01,67,17,16,1
QUAL-AG-003-2023-09,AG-003,2023-09-01,78,10,7,7
QUAL-AG-003-2023-10,AG-003,2023-10-01,58,8,6,2
QUAL-AG-003-2023-11,AG-003,2023-11-01,65,18,16,9
QUAL-AG-003-2023-12,AG-003,2023-12-01,32,3,1,3
QUAL-AG-003-2024-01,AG-003,2024-01-01,79,6,5,7
QUAL-AG-003-2024-02,AG-003,2024-02-01,68,12,12,1
QUAL-AG-003-2024-03,AG-003,2024-03-01,42,8,5,7
QUAL-AG-003-2024-04,AG-003,2024-04-01,34,4,0,9
QUAL-AG-003-2024-05,AG-003,2024-05-01,63,18,14,4
QUAL-AG-003-2024-06,AG-003,2024-06-01,54,3,0,2
QUAL-AG-003-2024-07,AG-003,2024-07-01,76,18,14,8
QUAL-AG-003-2024-08,AG-003,2024-08-01,85,19,18,8
QUAL-AG-003-2024-09,AG-003,2024-09-01,51,12,12,4
QUAL-AG-003-2024-10,AG-003,2024-10-01,73,15,10,9
QUAL-AG-003-2024-11,AG-003,2024-11-01,73,11,10,9
QUAL-AG-003-2024-12,AG-003,2024-12-01,71,17,13,9
QUAL-AG-003-2025-01,AG-003,2025-01-01,71,3,0,5
QUAL-AG-003-2025-02,AG-003,2025-02-01,66,14,11,4
QUAL-AG-003-2025-03,AG-003,2025-03-01,71,0,0,4
QUAL-AG-003-2025-04,AG-003,2025-04-01,48,19,15,10
QUAL-AG-003-2025-05,AG-003,2025-05-01,76,20,18,5
QUAL-AG-003-2025-06,AG-003,2025-06-01,73,20,15,5
QUAL-AG-003-2025-07,AG-003,2025-07-01,49,8,8,1
QUAL-AG-003-2025-08,AG-003,2025-08-01,67,5,0,7
QUAL-AG-003-2025-09,AG-003,2025-09-01,70,10,8,4
QUAL-AG-003-2025-10,AG-003,2025-10-01,58,11,7,2
QUAL-AG-003-2025-11,AG-003,2025-11-01,31,8,7,6
QUAL-AG-003-2025-12,AG-003,2025-12-01,62,6,2,9
QUAL-AG-003-2026-01,AG-003,2026-01-01,70,20,15,10
QUAL-AG-003-2026-02,AG-003,2026-02-01,59,19,14,10
QUAL-AG-003-2026-03,AG-003,2026-03-01,53,16,14,8
QUAL-AG-003-2026-04,AG-003,2026-04-01,44,15,13,7
QUAL-AG-003-2026-05,AG-003,2026-05-01,81,17,17,7
QUAL-AG-003-2026-06,AG-003,2026-06-01,49,6,4,1
QUAL-AG-003-2026-07,AG-003,2026-07-01,74,6,6,8
QUAL-AG-003-2026-08,AG-003,,36,14,11,7
QUAL-AG-003-2026-09,AG-003,2026-09-01,72,0,0,1
QUAL-AG-003-2026-10,AG-003,2026-10-01,64,6,3,10
QUAL-AG-003-2026-11,AG-003,2026-11-01,42,6,1,9
QUAL-AG-003-2026-12,AG-003,2026-12-01,30,7,6,7
QUAL-AG-004-2023-01,AG-004,2023-01-01,68,10,9,9
QUAL-AG-004-2023-02,AG-004,2023-02-01,79,1,0,3
QUAL-AG-004-2023-03,AG-004,2023-03-01,78,4,0,7
QUAL-AG-004-2023-04,AG-004,2023-04-01,40,14,13,6
QUAL-AG-004-2023-05,AG-004,2023-05-01,75,10,10,5
QUAL-AG-004-2023-06,AG-004,2023-06-01,39,8,4,1
QUAL-AG-004-2023-07,AG-004,2023-07-01,38,7,5,8
QUAL-AG-004-2023-08,AG-004,2023-08-01,48,13,9,6
QUAL-AG-004-2023-09,AG-004,2023-09-01,67,7,2,6
QUAL-AG-004-2023-10,AG-004,2023-10-01,52,14,14,3
QUAL-AG-004-2023-11,AG-004,2023-11-01,60,8,8,4
QUAL-AG-004-2023-12,AG-004,2023-12-01,49,8,6,10
QUAL-AG-004-2024-01,AG-004,2024-01-01,60,12,12,3
QUAL-AG-004-2024-02,AG-004,,66,7,2,10
QUAL-AG-004-2024-03,AG-004,2024-03-01,73,0,0,6
QUAL-AG-004-2024-04,AG-004,2024-04-01,39,5,4,9
QUAL-AG-004-2024-05,AG-004,2024-05-01,71,20,20,6
QUAL-AG-004-2024-06,AG-004,2024-06-01,48,13,9,6
QUAL-AG-004-2024-07,AG-004,2024-07-01,30,8,6,6
QUAL-AG-004-2024-08,AG-004,2024-08-01,51,18,16,1
QUAL-AG-004-2024-09,AG-004,2024-09-01,56,6,1,6
QUAL-AG-004-2024-10,AG-004,2024-10-01,61,15,12,9
QUAL-AG-004-2024-11,AG-004,2024-11-01,73,9,8,4
QUAL-AG-004-2024-12,AG-004,2024-12-01,61,13,12,10
QUAL-AG-004-2025-01,AG-004,2025-01-01,33,8,3,7
QUAL-AG-004-2025-02,AG-004,2025-02-01,74,7,4,10
QUAL-AG-004-2025-03,AG-004,2025-03-01,,4,1,10
QUAL-AG-004-2025-04,AG-004,2025-04-01,33,18,15,6
QUAL-AG-004-2025-05,AG-004,2025-05-01,73,0,0,2
QUAL-AG-004-2025-06,AG-004,,68,1,0,8
QUAL-AG-004-2025-07,AG-004,2025-07-01,73,3,2,1
QUAL-AG-004-2025-08,AG-004,2025-08-01,46,9,5,1
QUAL-AG-004-2025-09,AG-004,2025-09-01,68,15,14,2
QUAL-AG-004-2025-10,AG-004,2025-10-01,76,2,0,4
QUAL-AG-004-2025-11,AG-004,2025-11-01,78,7,3,2
QUAL-AG-004-2025-12,AG-004,2025-12-01,40,18,15,10
QUAL-AG-004-2026-01,AG-004,2026-01-01,30,10,9,1
QUAL-AG-004-2026-02,AG-004,2026-02-01,40,5,2,1
QUAL-AG-004-2026-03,AG-004,2026-03-01,65,4,3,9
QUAL-AG-004-2026-04,AG-004,2026-04-01,59,14,9,5
QUAL-AG-004-2026-05,AG-004,2026-05-01,79,1,0,5
QUAL-AG-004-2026-06,AG-004,2026-06-01,50,15,10,9
QUAL-AG-004-2026-07,AG-004,2026-07-01,,5,1,3
QUAL-AG-004-2026-08,AG-004,2026-08-01,40,16,11,1
QUAL-AG-004-2026-09,AG-004,2026-09-01,40,13,9,9
QUAL-AG-004-2026-10,AG-004,2026-10-01,56,13,11,9
QUAL-AG-004-2026-11,AG-004,2026-11-01,38,8,5,7
QUAL-AG-004-2026-12,AG-004,2026-12-01,82,0,0,7
QUAL-AG-005-2023-01,AG-005,2023-01-01,46,14,13,5
QUAL-AG-005-2023-02,AG-005,2023-02-01,51,5,3,8
QUAL-AG-005-2023-03,AG-005,2023-03-01,65,14,9,5
QUAL-AG-005-2023-04,AG-005,2023-04-01,65,17,15,1
QUAL-AG-005-2023-05,AG-005,2023-05-01,81,19,17,7
QUAL-AG-005-2023-06,AG-005,2023-06-01,59,14,14,7
QUAL-AG-005-2023-07,AG-005,2023-07-01,39,17,15,3
QUAL-AG-005-2023-08,AG-005,2023-08-01,33,19,18,9
QUAL-AG-005-2023-09,AG-005,2023-09-01,39,12,7,2
QUAL-AG-005-2023-10,AG-005,2023-10-01,78,12,10,2
QUAL-AG-005-2023-11,AG-005,2023-11-01,30,10,9,8
QUAL-AG-005-2023-12,AG-005,2023-12-01,32,10,7,7
QUAL-AG-005-2024-01,AG-005,2024-01-01,30,6,6,7
QUAL-AG-005-2024-02,AG-005,2024-02-01,60,18,16,2
QUAL-AG-005-2024-03,AG-005,2024-03-01,67,16,15,2
QUAL-AG-005-2024-04,AG-005,2024-04-01,78,8,7,9
QUAL-AG-005-2024-05,AG-005,2024-05-01,45,11,6,5
QUAL-AG-005-2024-06,AG-005,2024-06-01,35,18,14,2
QUAL-AG-005-2024-07,AG-005,2024-07-01,65,8,4,1
QUAL-AG-005-2024-08,AG-005,2024-08-01,30,3,0,1
QUAL-AG-005-2024-09,AG-005,2024-09-01,79,12,9,2
QUAL-AG-005-2024-10,AG-005,2024-10-01,32,15,12,2
QUAL-AG-005-2024-11,AG-005,2024-11-01,33,15,13,1
QUAL-AG-005-2024-12,AG-005,2024-12-01,44,13,9,10
QUAL-AG-005-2025-01,AG-005,2025-01-01,58,19,16,8
QUAL-AG-005-2025-02,AG-005,2025-02-01,71,9,6,2
QUAL-AG-005-2025-03,AG-005,2025-03-01,50,2,2,1
QUAL-AG-005-2025-04,AG-005,,66,0,0,8
QUAL-AG-005-2025-05,AG-005,2025-05-01,,11,11,3
QUAL-AG-005-2025-06,AG-005,2025-06-01,52,9,5,8
QUAL-AG-005-2025-07,AG-005,2025-07-01,78,20,19,10
QUAL-AG-005-2025-08,AG-005,2025-08-01,35,0,0,3
QUAL-AG-005-2025-09,AG-005,2025-09-01,60,11,7,10
QUAL-AG-005-2025-10,AG-005,2025-10-01,71,14,9,6
QUAL-AG-005-2025-11,AG-005,2025-11-01,85,19,16,6
QUAL-AG-005-2025-12,AG-005,2025-12-01,77,14,9,5
QUAL-AG-005-2026-01,AG-005,2026-01-01,78,5,3,3
QUAL-AG-005-2026-02,AG-005,2026-02-01,73,19,14,5
QUAL-AG-005-2026-03,AG-005,2026-03-01,40,1,0,2
QUAL-AG-005-2026-04,AG-005,2026-04-01,37,11,6,4
QUAL-AG-005-2026-05,AG-005,2026-05-01,32,11,11,4
QUAL-AG-005-2026-06,AG-005,2026-06-01,79,19,18,8
QUAL-AG-005-2026-07,AG-005,2026-07-01,80,12,7,10
QUAL-AG-005-2026-08,AG-005,2026-08-01,73,19,16,7
QUAL-AG-005-2026-09,AG-005,2026-09-01,77,12,12,9
QUAL-AG-005-2026-10,AG-005,2026-10-01,61,2,0,5
QUAL-AG-005-2026-11,AG-005,2026-11-01,32,11,7,5
QUAL-AG-005-2026-12,AG-005,2026-12-01,55,16,12,2
QUAL-AG-006-2023-01,AG-006,2023-01-01,67,19,19,9
QUAL-AG-006-2023-02,AG-006,2023-02-01,40,9,4,1
QUAL-AG-006-2023-03,AG-006,2023-03-01,58,8,6,6
QUAL-AG-006-2023-04,AG-006,2023-04-01,43,5,3,6
QUAL-AG-006-2023-05,AG-006,2023-05-01,50,4,1,10
QUAL-AG-006-2023-06,AG-006,2023-06-01,37,2,0,1
QUAL-AG-006-2023-07,AG-006,2023-07-01,63,11,6,2
QUAL-AG-006-2023-08,AG-006,2023-08-01,46,13,8,7
QUAL-AG-006-2023-09,AG-006,2023-09-01,69,17,12,6
QUAL-AG-006-2023-10,AG-006,2023-10-01,82,5,5,4
QUAL-AG-006-2023-11,AG-006,2023-11-01,66,13,13,9
QUAL-AG-006-2023-12,AG-006,2023-12-01,33,14,9,4
QUAL-AG-006-2024-01,AG-006,2024-01-01,74,17,17,1
QUAL-AG-006-2024-02,AG-006,2024-02-01,39,13,11,3
QUAL-AG-006-2024-03,AG-006,2024-03-01,61,4,4,6
QUAL-AG-006-2024-04,AG-006,2024-04-01,48,17,16,10
QUAL-AG-006-2024-05,AG-006,2024-05-01,60,17,17,10
QUAL-AG-006-2024-06,AG-006,2024-06-01,34,9,6,5
QUAL-AG-006-2024-07,AG-006,2024-07-01,64,8,5,5
QUAL-AG-006-2024-08,AG-006,2024-08-01,48,5,1,4
QUAL-AG-006-2024-09,AG-006,2024-09-01,36,15,10,9
QUAL-AG-006-2024-10,AG-006,2024-10-01,73,15,14,2
QUAL-AG-006-2024-11,AG-006,2024-11-01,35,14,13,8
QUAL-AG-006-2024-12,AG-006,2024-12-01,33,8,6,3
QUAL-AG-006-2025-01,AG-006,2025-01-01,41,13,10,7
QUAL-AG-006-2025-02,AG-006,2025-02-01,62,16,11,10
QUAL-AG-006-2025-03,AG-006,2025-03-01,64,16,13,8
QUAL-AG-006-2025-04,AG-006,2025-04-01,47,10,6,5
QUAL-AG-006-2025-05,AG-006,2025-05-01,78,9,9,4
QUAL-AG-006-2025-06,AG-006,2025-06-01,37,19,18,10
QUAL-AG-006-2025-07,AG-006,2025-07-01,43,13,13,6
QUAL-AG-006-2025-08,AG-006,2025-08-01,57,5,0,8
QUAL-AG-006-2025-09,AG-006,2025-09-01,34,18,17,5
QUAL-AG-006-2025-10,AG-006,2025-10-01,45,16,12,1
QUAL-AG-006-2025-11,AG-006,2025-11-01,83,8,4,5
QUAL-AG-006-2025-12,AG-006,2025-12-01,60,19,18,7
QUAL-AG-006-2026-01,AG-006,2026-01-01,72,11,8,2
QUAL-AG-006-2026-02,AG-006,2026-02-01,34,11,8,9
QUAL-AG-006-2026-03,AG-006,2026-03-01,38,4,0,4
QUAL-AG-006-2026-04,AG-006,2026-04-01,33,14,14,7
QUAL-AG-006-2026-05,AG-006,2026-05-01,46,16,16,6
QUAL-AG-006-2026-06,AG-006,2026-06-01,36,12,12,3
QUAL-AG-006-2026-07,AG-006,2026-07-01,58,20,18,4
QUAL-AG-006-2026-08,AG-006,2026-08-01,43,14,9,3
QUAL-AG-006-2026-09,AG-006,2026-09-01,71,15,15,9
QUAL-AG-006-2026-10,AG-006,2026-10-01,71,5,3,5
QUAL-AG-006-2026-11,AG-006,2026-11-01,85,11,8,4
QUAL-AG-006-2026-12,AG-006,2026-12-01,81,3,2,2
QUAL-AG-007-2023-01,AG-007,2023-01-01,74,0,0,9
QUAL-AG-007-2023-02,AG-007,2023-02-01,65,15,11,1
QUAL-AG-007-2023-03,AG-007,2023-03-01,56,2,0,5
QUAL-AG-007-2023-04,AG-007,2023-04-01,85,16,14,9
QUAL-AG-007-2023-05,AG-007,2023-05-01,44,11,8,6
QUAL-AG-007-2023-06,AG-007,2023-06-01,48,2,0,1
QUAL-AG-007-2023-07,AG-007,2023-07-01,84,17,12,9
QUAL-AG-007-2023-08,AG-007,2023-08-01,38,2,1,9
QUAL-AG-007-2023-09,AG-007,2023-09-01,54,13,9,1
QUAL-AG-007-2023-10,AG-007,2023-10-01,50,19,17,7
QUAL-AG-007-2023-11,AG-007,2023-11-01,75,19,15,5
QUAL-AG-007-2023-12,AG-007,2023-12-01,62,5,0,9
QUAL-AG-007-2024-01,AG-007,2024-01-01,,1,0,3
QUAL-AG-007-2024-02,AG-007,2024-02-01,83,5,1,9
QUAL-AG-007-2024-03,AG-007,2024-03-01,59,2,0,3
QUAL-AG-007-2024-04,AG-007,2024-04-01,40,0,0,7
QUAL-AG-007-2024-05,AG-007,2024-05-01,63,13,11,3
QUAL-AG-007-2024-06,AG-007,2024-06-01,85,15,11,7
QUAL-AG-007-2024-07,AG-007,2024-07-01,64,10,9,8
QUAL-AG-007-2024-08,AG-007,2024-08-01,59,12,12,4
QUAL-AG-007-2024-09,AG-007,2024-09-01,62,15,12,9
QUAL-AG-007-2024-10,AG-007,2024-10-01,47,14,14,1
QUAL-AG-007-2024-11,AG-007,2024-11-01,72,17,16,4
QUAL-AG-007-2024-12,AG-007,2024-12-01,70,11,6,6
QUAL-AG-007-2025-01,AG-007,2025-01-01,51,13,12,4
QUAL-AG-007-2025-02,AG-007,2025-02-01,38,14,11,1
QUAL-AG-007-2025-03,AG-007,2025-03-01,51,16,14,10
QUAL-AG-007-2025-04,AG-007,2025-04-01,33,4,1,4
QUAL-AG-007-2025-05,AG-007,2025-05-01,72,4,3,9
QUAL-AG-007-2025-06,AG-007,2025-06-01,81,14,14,5
QUAL-AG-007-2025-07,AG-007,2025-07-01,80,8,8,3
QUAL-AG-007-2025-08,AG-007,2025-08-01,51,9,6,9
QUAL-AG-007-2025-09,AG-007,2025-09-01,80,7,3,8
QUAL-AG-007-2025-10,AG-007,2025-10-01,59,20,20,5
QUAL-AG-007-2025-11,AG-007,2025-11-01,56,15,11,9
QUAL-AG-007-2025-12,AG-007,2025-12-01,34,11,7,7
QUAL-AG-007-2026-01,AG-007,2026-01-01,85,9,6,8
QUAL-AG-007-2026-02,AG-007,2026-02-01,55,10,7,10
QUAL-AG-007-2026-03,AG-007,2026-03-01,77,13,10,4
QUAL-AG-007-2026-04,AG-007,2026-04-01,75,5,1,2
QUAL-AG-007-2026-05,AG-007,2026-05-01,40,9,5,10
QUAL-AG-007-2026-06,AG-007,2026-06-01,64,14,9,8
QUAL-AG-007-2026-07,AG-007,2026-07-01,45,19,17,6
QUAL-AG-007-2026-08,AG-007,2026-08-01,67,8,7,7
QUAL-AG-007-2026-09,AG-007,2026-09-01,61,13,13,9
QUAL-AG-007-2026-10,AG-007,2026-10-01,43,1,1,3
QUAL-AG-007-2026-11,AG-007,2026-11-01,33,7,6,10
QUAL-AG-007-2026-12,AG-007,2026-12-01,74,3,2,9
QUAL-AG-008-2023-01,AG-008,2023-01-01,85,12,11,9
QUAL-AG-008-2023-02,AG-008,2023-02-01,52,13,9,10
QUAL-AG-008-2023-03,AG-008,2023-03-01,32,17,12,1
QUAL-AG-008-2023-04,AG-008,2023-04-01,53,6,5,8
QUAL-AG-008-2023-05,AG-008,2023-05-01,81,6,4,7
QUAL-AG-008-2023-06,AG-008,2023-06-01,38,20,15,8
QUAL-AG-008-2023-07,AG-008,2023-07-01,62,14,14,6
QUAL-AG-008-2023-08,AG-008,2023-08-01,53,19,16,10
QUAL-AG-008-2023-09,AG-008,2023-09-01,74,18,13,5
QUAL-AG-008-2023-10,AG-008,2023-10-01,61,10,6,6
QUAL-AG-008-2023-11,AG-008,2023-11-01,53,11,11,6
QUAL-AG-008-2023-12,AG-008,2023-12-01,71,7,2,7
QUAL-AG-008-2024-01,AG-008,2024-01-01,75,20,20,8
QUAL-AG-008-2024-02,AG-008,2024-02-01,62,11,9,2
QUAL-AG-008-2024-03,AG-008,2024-03-01,69,11,10,6
QUAL-AG-008-2024-04,AG-008,2024-04-01,84,11,10,1
QUAL-AG-008-2024-05,AG-008,2024-05-01,72,16,11,9
QUAL-AG-008-2024-06,AG-008,2024-06-01,,2,0,6
QUAL-AG-008-2024-07,AG-008,2024-07-01,35,9,7,8
QUAL-AG-008-2024-08,AG-008,2024-08-01,48,10,9,1
QUAL-AG-008-2024-09,AG-008,2024-09-01,32,4,1,7
QUAL-AG-008-2024-10,AG-008,2024-10-01,46,14,13,1
QUAL-AG-008-2024-11,AG-008,2024-11-01,79,17,16,5
QUAL-AG-008-2024-12,AG-008,2024-12-01,42,11,6,4
QUAL-AG-008-2025-01,AG-008,2025-01-01,35,5,0,5
QUAL-AG-008-2025-02,AG-008,2025-02-01,48,0,0,3
QUAL-AG-008-2025-03,AG-008,2025-03-01,79,13,12,5
QUAL-AG-008-2025-04,AG-008,2025-04-01,,0,0,5
QUAL-AG-008-2025-05,AG-008,2025-05-01,53,5,3,8
QUAL-AG-008-2025-06,AG-008,2025-06-01,67,18,18,1
QUAL-AG-008-2025-07,AG-008,2025-07-01,,15,11,5
QUAL-AG-008-2025-08,AG-008,2025-08-01,50,9,6,1
QUAL-AG-008-2025-09,AG-008,2025-09-01,80,3,2,5
QUAL-AG-008-2025-10,AG-008,2025-10-01,76,7,5,9
QUAL-AG-008-2025-11,AG-008,2025-11-01,60,2,1,4
QUAL-AG-008-2025-12,AG-008,2025-12-01,73,19,16,3
QUAL-AG-008-2026-01,AG-008,2026-01-01,57,17,14,2
QUAL-AG-008-2026-02,AG-008,2026-02-01,45,9,8,2
QUAL-AG-008-2026-03,AG-008,2026-03-01,,0,0,10
QUAL-AG-008-2026-04,AG-008,2026-04-01,44,1,1,5
QUAL-AG-008-2026-05,AG-008,2026-05-01,49,17,17,3
QUAL-AG-008-2026-06,AG-008,2026-06-01,68,1,0,9
QUAL-AG-008-2026-07,AG-008,2026-07-01,75,2,0,7
QUAL-AG-008-2026-08,AG-008,2026-08-01,49,11,10,4
QUAL-AG-008-2026-09,AG-008,2026-09-01,66,3,0,10
QUAL-AG-008-2026-10,AG-008,2026-10-01,32,16,15,2
QUAL-AG-008-2026-11,AG-008,2026-11-01,42,10,7,9
QUAL-AG-008-2026-12,AG-008,2026-12-01,74,6,6,8
QUAL-AG-009-2023-01,AG-009,2023-01-01,44,13,8,7
QUAL-AG-009-2023-02,AG-009,2023-02-01,,2,0,2
QUAL-AG-009-2023-03,AG-009,2023-03-01,69,3,0,8
QUAL-AG-009-2023-04,AG-009,2023-04-01,50,0,0,4
QUAL-AG-009-2023-05,AG-009,2023-05-01,80,5,5,4
QUAL-AG-009-2023-06,AG-009,2023-06-01,81,8,4,6
QUAL-AG-009-2023-07,AG-009,2023-07-01,61,2,0,9
QUAL-AG-009-2023-08,AG-009,2023-08-01,55,11,11,8
QUAL-AG-009-2023-09,AG-009,2023-09-01,78,4,2,8
QUAL-AG-009-2023-10,AG-009,2023-10-01,34,12,7,4
QUAL-AG-009-2023-11,AG-009,2023-11-01,31,6,1,8
QUAL-AG-009-2023-12,AG-009,2023-12-01,62,2,2,1
QUAL-AG-009-2024-01,AG-009,2024-01-01,74,14,14,4
QUAL-AG-009-2024-02,AG-009,2024-02-01,66,19,16,4
